"Area1","Area2","1961-1964","1965-1968","1969-1972","1973-1976","1977-1980","1981-1984","1985-1988","1989-1992","1993-1996","1997-2000","2001-2004","2005-2008","2009-2012"
"Algeria","Lebanon",0.709440856240017,0.710503575894594,0.714548656109751,0.707214798055173,0.71144667011453,0.706001061014982,0.678046102672652,0.665991971699895,0.657802699694356,0.653454505126534,0.666311697200784,0.6669128081674,0.677887485050217
"Algeria","Lesotho",0.565715277582405,0.556192932553847,0.557301266581999,0.570452458587761,0.585281420752061,0.59748960186016,0.565990958661233,0.548209756402753,0.541044666636194,0.532513003080076,0.538561649488593,0.535554656014566,0.53587173560869
"Algeria","Liberia",0.601251441581612,0.594940023166857,0.598332306466122,0.596565268884697,0.60664885093548,0.598538768924164,0.571857969072735,0.550478910006235,0.548728920165239,0.545194954680186,0.545596691343402,0.551350426666644,0.553939475134092
"Algeria","Lithuania",0,0,0,0,0,0,0,0,0.620536702984226,0.633384999751478,0.647426126861381,0.651176665860749,0.662190088408154
"Algeria","Luxembourg",0,0,0,0,0,0,0,0,0,0,0.609799209213599,0.606333431328152,0.613766275831114
"Algeria","Madagascar",0.667264007946696,0.661989023968605,0.668279504768164,0.667956245885334,0.664854488919611,0.649382415453538,0.61823218445831,0.61513880388504,0.610968979247824,0.601242485159068,0.605059557095447,0.612660751617296,0.618051772943704
"Algeria","Malawi",0.616721158085234,0.610988671116794,0.622211407407227,0.6206689150449,0.615908290059853,0.607417168588802,0.580936271006748,0.580380324339621,0.573314739599138,0.563074083781187,0.577521593023567,0.584834427411506,0.590753711966753
"Algeria","Malaysia",0.697949961467608,0.688447727413648,0.703379324345034,0.695325762416437,0.70369533529212,0.699535203658373,0.668035468966424,0.663141542344158,0.660947434558919,0.65119212886883,0.672225201740966,0.674200946531708,0.684937183754333
"Algeria","Maldives",0.515509971261547,0.507035192959542,0.511233058745662,0.512732970946666,0.51250456211225,0.504383817084441,0.500127357835518,0.524244838673585,0.53845577598911,0.54290597638793,0.558942500920115,0.56092303381128,0.566747958743537
"Algeria","Mali",0.627026177232124,0.616383888246416,0.618623651656724,0.614530905192732,0.613480096565235,0.607655992944035,0.5910667229174,0.588198571686816,0.575670269609299,0.576705701807541,0.594704638783141,0.601672485251871,0.60214171898949
"Algeria","Malta",0.651959338130034,0.646192707154143,0.649112840249696,0.640996440088442,0.644178831353565,0.6389044327767,0.612946271561469,0.600792473934133,0.598145470943904,0.595433244062219,0.601962851764415,0.607149755957422,0.61060850413896
"Algeria","Mauritania",0.593873797950933,0.582862779518627,0.583609121828398,0.596642973672264,0.605142306986638,0.611391900153703,0.583396351480209,0.579358786020598,0.568953563967369,0.566622938744047,0.577771360464905,0.576909288407656,0.584768250546535
"Algeria","Mauritius",0.619528807982555,0.610566402849048,0.616448603475156,0.619309427480621,0.62753949886661,0.622683741448258,0.59451912876401,0.599851616397553,0.60456409585299,0.598678421056345,0.604839960112143,0.608203824064691,0.614400872425358
"Algeria","Mexico",0.745767744411575,0.73297903513156,0.744889748993446,0.749165420493495,0.752239173438027,0.743241506552683,0.711208263594715,0.711499769011658,0.705379154443629,0.694980885022852,0.718697066098213,0.717099965339635,0.721499191486035
"Algeria","Mongolia",0.575108344089461,0.568757096239402,0.560898723599035,0.562019951434296,0.562440767359976,0.556562505435896,0.538893921452205,0.531535552348486,0.523553145553528,0.539466051893989,0.554753544671448,0.566566835743184,0.5821433278708
"Algeria","Montenegro",0,0,0,0,0,0,0,0,0,0,0,0,0.60367950959237
"Algeria","Morocco",0.744222241779075,0.741341275644058,0.74911415608984,0.743046651673705,0.745445986898865,0.737147616917226,0.708574760440624,0.701752197759523,0.699614595013609,0.677518698875653,0.692143281248218,0.699455663441966,0.707781077508731
"Algeria","Mozambique",0.646296234490823,0.646821899212297,0.653643591293703,0.644065438848636,0.630145627355793,0.62472006966375,0.601115840840096,0.599473133735247,0.588421327141863,0.578751195090713,0.602155178669724,0.609442522147778,0.620791733212015
"Algeria","Myanmar",0.653639780538283,0.638858674798129,0.631670594933337,0.626260733437817,0.636360999867738,0.630257197355061,0.604194360724063,0.594727292906345,0.591273837500933,0.594831545999557,0.610425340498237,0.616182167373958,0.630628737671453
"Algeria","Namibia",0.563679839425633,0.555759392190745,0.554506184166606,0.548885849098636,0.549723068394283,0.54411226033159,0.527761517719618,0.523751817188037,0.520318822892619,0.589365255078343,0.597144782621521,0.595101551098396,0.594844168207704
"Algeria","Nepal",0.598023167098601,0.593591814723437,0.594146827760952,0.58945848900584,0.594269572290562,0.618364378488305,0.609982998401251,0.603252845135936,0.594783475183674,0.592943384151265,0.616461418196239,0.619795752664054,0.641757298767841
"Algeria","Netherlands",0.746006849524609,0.735714531657043,0.744939969945931,0.745132597679944,0.755711847213179,0.743534339218131,0.711633909429372,0.699810987434231,0.691527411426697,0.681904594149024,0.702692131556224,0.704522533467143,0.710725289826052
"Algeria","NetherlandsAntilles(former)",0.609102056082529,0.599143652817191,0.59914974925965,0.598903112559639,0.606758561798256,0.601222516203536,0.564241367018949,0.551420198674519,0.5448407760615,0.538747471874667,0.536401329601316,0.536036005751552,0
